ID,VP Index,Mediana,L_R,ID_Parent,L_kid,R_kid,L_kid_N,R_kid_N,Left Bound,Right Bound
0,0,2.35357,0,-1,1,7,6,8,0,0
1,4,1.25659,-1,0,2,4,2,3,0,0
2,9,0.852517,-1,1,-1,3,0,1,0,0
3,1,0,1,2,-1,-1,0,0,0,0
4,7,0.471203,1,1,-1,5,0,2,0,0
5,10,1.09739,1,4,-1,6,0,1,0,0
6,12,0,1,5,-1,-1,0,0,0,0
7,2,0.887794,1,0,8,11,3,4,0,0
8,11,0.134057,-1,7,-1,9,0,2,0,0
9,14,0.265276,1,8,-1,10,0,1,0,0
10,13,0,1,9,-1,-1,0,0,0,0
11,5,1.41525,1,7,12,13,1,2,0,0
12,3,0,-1,11,-1,-1,0,0,0,0
13,8,1.71509,1,11,-1,14,0,1,0,0
14,6,0,1,13,-1,-1,0,0,0,0
