ID,VP Index,Mediana,L_R,ID_Parent,L_kid,R_kid,L_kid_N,R_kid_N,Left Bound,Right Bound
0,24,3.61583,0,-1,1,60,59,60,0,0
1,5,2.18682,-1,0,2,30,28,30,0,0
2,10,1.34395,-1,1,3,16,13,14,0,0
3,59,0.681048,-1,2,4,9,5,7,0,0
4,8,0.352629,-1,3,5,6,1,3,0,0
5,33,0,-1,4,-1,-1,0,0,0,0
6,19,0.269362,1,4,-1,7,0,2,0,0
7,29,0.202942,1,6,-1,8,0,1,0,0
8,30,0,1,7,-1,-1,0,0,0,0
9,27,0.472099,1,3,10,12,2,4,0,0
10,40,0.183263,-1,9,-1,11,0,1,0,0
11,21,0,1,10,-1,-1,0,0,0,0
12,7,0.818355,1,9,13,14,1,2,0,0
13,39,0,-1,12,-1,-1,0,0,0,0
14,25,0.671997,1,12,-1,15,0,1,0,0
15,38,0,1,14,-1,-1,0,0,0,0
16,16,0.889796,1,2,17,23,6,7,0,0
17,13,0.478271,-1,16,18,20,2,3,0,0
18,56,0.12401,-1,17,-1,19,0,1,0,0
19,26,0,1,18,-1,-1,0,0,0,0
20,28,0.420644,1,17,-1,21,0,2,0,0
21,46,0.779584,1,20,-1,22,0,1,0,0
22,14,0,1,21,-1,-1,0,0,0,0
23,51,1.56247,1,16,24,26,2,4,0,0
24,31,0.204403,-1,23,-1,25,0,1,0,0
25,34,0,1,24,-1,-1,0,0,0,0
26,1,1.40817,1,23,27,28,1,2,0,0
27,58,0,-1,26,-1,-1,0,0,0,0
28,17,0.927438,1,26,-1,29,0,1,0,0
29,41,0,1,28,-1,-1,0,0,0,0
30,2,1.43513,1,1,31,45,14,15,0,0
31,3,0.737994,-1,30,32,38,6,7,0,0
32,36,0.349589,-1,31,33,35,2,3,0,0
33,15,0.161838,-1,32,-1,34,0,1,0,0
34,4,0,1,33,-1,-1,0,0,0,0
35,45,1.05236,1,32,-1,36,0,2,0,0
36,105,0.0795,1,35,-1,37,0,1,0,0
37,0,0,1,36,-1,-1,0,0,0,0
38,20,0.589679,1,31,39,41,2,4,0,0
39,35,0.0712796,-1,38,-1,40,0,1,0,0
40,42,0,1,39,-1,-1,0,0,0,0
41,22,0.571787,1,38,42,43,1,2,0,0
42,6,0,-1,41,-1,-1,0,0,0,0
43,43,1.00448,1,41,-1,44,0,1,0,0
44,12,0,1,43,-1,-1,0,0,0,0
45,53,1.3088,1,30,46,52,6,8,0,0
46,23,0.596364,-1,45,47,49,2,3,0,0
47,50,0.280113,-1,46,-1,48,0,1,0,0
48,47,0,1,47,-1,-1,0,0,0,0
49,32,0.258692,1,46,-1,50,0,2,0,0
50,44,0.638691,1,49,-1,51,0,1,0,0
51,52,0,1,50,-1,-1,0,0,0,0
52,48,0.883177,1,45,53,56,3,4,0,0
53,18,0.277602,-1,52,-1,54,0,2,0,0
54,49,0.159025,1,53,-1,55,0,1,0,0
55,57,0,1,54,-1,-1,0,0,0,0
56,11,2.04416,1,52,57,58,1,2,0,0
57,37,0,-1,56,-1,-1,0,0,0,0
58,55,1.72034,1,56,-1,59,0,1,0,0
59,90,0,1,58,-1,-1,0,0,0,0
60,62,2.04926,1,0,61,90,29,30,0,0
61,66,0.679931,-1,60,62,75,13,15,0,0
62,60,0.723177,-1,61,63,68,5,7,0,0
63,73,0.140818,-1,62,64,65,1,3,0,0
64,93,0,-1,63,-1,-1,0,0,0,0
65,95,0.247968,1,63,-1,66,0,2,0,0
66,119,0.0595941,1,65,-1,67,0,1,0,0
67,85,0,1,66,-1,-1,0,0,0,0
68,86,0.242781,1,62,69,71,2,4,0,0
69,108,0.0292972,-1,68,-1,70,0,1,0,0
70,68,0,1,69,-1,-1,0,0,0,0
71,82,0.242123,1,68,72,73,1,2,0,0
72,69,0,-1,71,-1,-1,0,0,0,0
73,115,0.184411,1,71,-1,74,0,1,0,0
74,106,0,1,73,-1,-1,0,0,0,0
75,117,0.7513,1,61,76,82,6,8,0,0
76,63,0.734853,-1,75,77,79,2,3,0,0
77,118,0.179669,-1,76,-1,78,0,1,0,0
78,84,0,1,77,-1,-1,0,0,0,0
79,91,0.69796,1,76,-1,80,0,2,0,0
80,113,0.131006,1,79,-1,81,0,1,0,0
81,107,0,1,80,-1,-1,0,0,0,0
82,54,1.75673,1,75,83,86,3,4,0,0
83,9,1.35138,-1,82,-1,84,0,2,0,0
84,75,0.561942,1,83,-1,85,0,1,0,0
85,67,0,1,84,-1,-1,0,0,0,0
86,92,1.0416,1,82,87,88,1,2,0,0
87,100,0,-1,86,-1,-1,0,0,0,0
88,101,0.0589348,1,86,-1,89,0,1,0,0
89,104,0,1,88,-1,-1,0,0,0,0
90,116,1.65946,1,60,91,105,14,15,0,0
91,114,1.10882,-1,90,92,98,6,7,0,0
92,72,0.572738,-1,91,93,95,2,3,0,0
93,112,0.372225,-1,92,-1,94,0,1,0,0
94,110,0,1,93,-1,-1,0,0,0,0
95,61,0.412988,1,92,-1,96,0,2,0,0
96,81,0.500849,1,95,-1,97,0,1,0,0
97,99,0,1,96,-1,-1,0,0,0,0
98,83,0.706311,1,91,99,101,2,4,0,0
99,70,0.240204,-1,98,-1,100,0,1,0,0
100,65,0,1,99,-1,-1,0,0,0,0
101,80,0.226212,1,98,102,103,1,2,0,0
102,109,0,-1,101,-1,-1,0,0,0,0
103,98,0.225001,1,101,-1,104,0,1,0,0
104,111,0,1,103,-1,-1,0,0,0,0
105,74,0.910972,1,90,106,112,6,8,0,0
106,88,0.388462,-1,105,107,109,2,3,0,0
107,78,0.176044,-1,106,-1,108,0,1,0,0
108,97,0,1,107,-1,-1,0,0,0,0
109,94,0.229852,1,106,-1,110,0,2,0,0
110,71,0.421551,1,109,-1,111,0,1,0,0
111,96,0,1,110,-1,-1,0,0,0,0
112,77,2.82591,1,105,113,116,3,4,0,0
113,87,2.33896,-1,112,-1,114,0,2,0,0
114,102,0.38494,1,113,-1,115,0,1,0,0
115,103,0,1,114,-1,-1,0,0,0,0
116,89,1.75257,1,112,117,118,1,2,0,0
117,76,0,-1,116,-1,-1,0,0,0,0
118,79,0.37744,1,116,-1,119,0,1,0,0
119,64,0,1,118,-1,-1,0,0,0,0
