ID,VP Index,Mediana,L_R,ID_Parent,L_kid,R_kid,L_kid_N,R_kid_N,Left Bound,Right Bound
0,1,1.7717,0,-1,1,7,6,8,1.70503,2.07933
1,14,1.23074,-1,0,2,4,2,3,0.763166,1.69832
2,2,0.202342,-1,1,-1,3,0,1,0,0.404683
3,10,0,1,2,-1,-1,0,0,0,0
4,5,2.09305,1,1,-1,5,0,2,0,3.09415
5,9,0.610536,1,4,-1,6,0,1,0,1.22107
6,4,0,1,5,-1,-1,0,0,0,0
7,3,1.88052,1,0,8,11,3,4,1.23331,2.52772
8,11,0.134057,-1,7,-1,9,0,2,0,0.84645
9,13,0.429749,1,8,-1,10,0,1,0,0.859499
10,8,0,1,9,-1,-1,0,0,0,0
11,7,0.474204,1,7,12,13,1,2,0.471203,0.477206
12,12,0,-1,11,-1,-1,0,0,0,0
13,0,2.44832,1,11,-1,14,0,1,0,4.89663
14,6,0,1,13,-1,-1,0,0,0,0
