ID,VP Index,Mediana,L_R,ID_Parent,L_kid,R_kid,L_kid_N,R_kid_N,Left Bound,Right Bound
0,16,2.77763,0,-1,1,15,14,15,0,0
1,25,1.84867,-1,0,2,8,6,7,0,0
2,27,0.956797,-1,1,3,5,2,3,0,0
3,21,1.14392,-1,2,-1,4,0,1,0,0
4,29,0,1,3,-1,-1,0,0,0,0
5,17,0.878662,1,2,6,7,1,1,0,0
6,22,0,-1,5,-1,-1,0,0,0,0
7,15,0,1,5,-1,-1,0,0,0,0
8,26,1.47492,1,1,9,12,3,3,0,0
9,23,0.806703,-1,8,10,11,1,1,0,0
10,20,0,-1,9,-1,-1,0,0,0,0
11,19,0,1,9,-1,-1,0,0,0,0
12,24,1.20664,1,8,13,14,1,1,0,0
13,18,0,-1,12,-1,-1,0,0,0,0
14,28,0,1,12,-1,-1,0,0,0,0
15,11,1.12155,1,0,16,23,7,7,0,0
16,7,0.629453,-1,15,17,20,3,3,0,0
17,12,0.675664,-1,16,18,19,1,1,0,0
18,9,0,-1,17,-1,-1,0,0,0,0
19,5,0,1,17,-1,-1,0,0,0,0
20,1,1.09687,1,16,21,22,1,1,0,0
21,6,0,-1,20,-1,-1,0,0,0,0
22,8,0,1,20,-1,-1,0,0,0,0
23,3,0.871129,1,15,24,27,3,3,0,0
24,4,0.485058,-1,23,25,26,1,1,0,0
25,14,0,-1,24,-1,-1,0,0,0,0
26,10,0,1,24,-1,-1,0,0,0,0
27,2,1.576,1,23,28,29,1,1,0,0
28,0,0,-1,27,-1,-1,0,0,0,0
29,13,0,1,27,-1,-1,0,0,0,0
