"","V2","V3"
"1",58882,63168
"2",58959,63322
"3",59034,60585
"4",59145,61717
"5",59164,59757
"6",59168,61401
"7",59250,61922
"8",59318,62083
"9",59458,61429
"10",59464,60412
"11",59518,62946
"12",59529,61856
"13",59534,60771
"14",59546,60124
"15",59577,63185
"16",59665,63065
"17",59675,63765
"18",59713,61255
"19",59719,59465
"20",59759,63334
"21",59771,62352
"22",59778,64199
"23",59781,65082
"24",59801,63234
"25",59803,60599
"26",59810,63747
"27",59874,61798
"28",59900,61499
"29",59938,60696
"30",59953,60877
"31",59962,59806
"32",59977,61661
"33",59983,62446
"34",59987,60921
"35",60019,62823
"36",60019,61505
"37",60039,64251
"38",60090,61386
"39",60097,65061
"40",60113,60921
"41",60131,61129
"42",60153,60715
"43",60165,62498
"44",60187,59510
"45",60189,63029
"46",60191,61947
"47",60202,58677
"48",60235,61652
"49",60249,61754
"50",60256,58747
"51",60296,60989
"52",195041,16471
"53",195044,12888
"54",195050,12546
"55",195054,13222
"56",195073,11937
"57",195074,13318
"58",195092,13815
"59",195093,13560
"60",195094,13685
"61",195095,15706
"62",195097,14226
"63",195099,15126
"64",195099,14843
"65",195103,14558
"66",195106,13981
"67",195118,14985
"68",195121,12931
"69",195135,15958
"70",195136,13498
"71",195141,15454
"72",195142,13419
"73",195143,15891
"74",195144,15222
"75",195149,14614
"76",195155,13694
"77",195159,14789
"78",195163,11973
"79",195163,14081
"80",195164,13264
"81",195168,15224
"82",195169,14069
"83",195170,17871
"84",195174,15089
"85",195181,15469
"86",195193,16251
"87",195195,14137
"88",195198,15562
"89",195205,13570
"90",195206,14299
"91",195210,16408
"92",195214,12790
"93",195216,16218
"94",195224,14168
"95",195225,15467
"96",195226,15396
"97",195227,12458
"98",195232,12863
"99",195237,12945
"100",195239,15059
"101",195241,12488
"102",195244,11395
"103",195247,13299
"104",195247,15841
"105",195252,16477
"106",195253,11832
"107",195258,11855
"108",195258,13129
"109",195261,13382
"110",195262,11982
"111",195275,12834
"112",195275,13754
"113",195282,13304
"114",195284,13999
"115",195285,15891
"116",195286,12566
"117",195289,14606
"118",195290,14207
"119",195291,15123
"120",195296,15522
"121",195299,16816
"122",195300,12486
"123",195314,14049
"124",195323,15937
"125",195326,13747
"126",195332,15239
"127",195332,14779
"128",195336,12137
"129",195336,13527
"130",195337,14022
"131",195349,13432
"132",195354,15288
"133",195356,15152
"134",195361,16692
"135",195369,13997
"136",195370,14496
"137",195378,14998
"138",195378,14329
"139",195384,15246
"140",195390,15651
"141",195394,13722
"142",195403,14638
"143",195405,15698
"144",195411,14838
"145",195415,15213
"146",195427,13344
"147",195428,13019
"148",195438,14942
"149",195457,12830
"150",195461,14805
"151",195476,15919
"152",195476,15770
"153",195482,16503
"154",195482,11640
"155",195488,14082
"156",195489,13541
"157",195493,15789
"158",195495,15993
"159",195496,15979
"160",195496,14769
"161",195497,15394
"162",195506,15747
"163",195522,11157
"164",195523,14774
"165",195524,13684
"166",195528,13017
"167",195529,13131
"168",195529,10789
"169",195530,13633
"170",195534,15050
"171",195539,14705
"172",195540,15466
"173",195541,13465
"174",195545,14909
"175",195546,16320
"176",195549,11649
"177",195552,14111
"178",195553,17029
"179",195553,11651
"180",195562,14674
"181",195569,14521
"182",195571,16760
"183",195573,13763
"184",195573,14195
"185",195578,14410
"186",195583,12840
"187",195589,13659
"188",195592,14675
"189",195593,14676
"190",195595,14566
"191",195596,15320
"192",195599,14314
"193",195600,11659
"194",195601,14330
"195",195602,12512
"196",195605,14575
"197",195630,14723
"198",195633,17962
"199",195634,13474
"200",195644,14471
"201",195648,12956
"202",195648,13231
"203",195649,15044
"204",195651,13410
"205",195656,14161
"206",195656,16091
"207",195660,12837
"208",195661,12554
"209",195662,15379
"210",195669,14921
"211",195669,14545
"212",195675,17108
"213",195676,13494
"214",195678,14279
"215",195679,12187
"216",195682,14119
"217",195686,16072
"218",195687,12893
"219",195691,15565
"220",195691,14494
"221",195692,14909
"222",195699,17470
"223",195711,13241
"224",195713,13445
"225",195716,10822
"226",195717,13195
"227",195718,15317
"228",195721,17178
"229",195727,14586
"230",195731,14347
"231",195733,16540
"232",195734,14806
"233",195738,15106
"234",195742,14566
"235",195742,15241
"236",195745,12109
"237",195752,12612
"238",195754,15949
"239",195754,15586
"240",195755,16090
"241",195758,10477
"242",195759,11977
"243",195761,11024
"244",195762,12880
"245",195763,12202
"246",195765,14696
"247",195767,14844
"248",195780,14682
"249",195780,14060
"250",195781,14455
"251",195783,13514
"252",195787,14326
"253",195790,16017
"254",195791,13884
"255",195805,16136
"256",195807,16688
"257",195811,15420
"258",195813,15620
"259",195813,14675
"260",195814,15401
"261",195817,14128
"262",195829,13244
"263",195839,16526
"264",195840,13238
"265",195840,16195
"266",195844,17822
"267",195849,12001
"268",195851,15481
"269",195853,13733
"270",195855,15364
"271",195862,14292
"272",195865,14363
"273",195867,15955
"274",195868,13774
"275",195869,15310
"276",195870,16122
"277",195871,13971
"278",195873,16234
"279",195885,16039
"280",195892,14244
"281",195905,14959
"282",195909,15536
"283",195909,16140
"284",195917,14249
"285",195925,15773
"286",195931,14291
"287",195933,14557
"288",195945,15775
"289",195950,15145
"290",195950,13379
"291",195958,16748
"292",195958,12484
"293",195968,12776
"294",195973,13786
"295",195976,13613
"296",195980,15345
"297",195990,13588
"298",195991,16713
"299",195992,14219
"300",195998,13797
"301",196002,13185
"302",196004,14859
"303",196010,13554
"304",196011,15138
"305",196019,15540
"306",196022,11872
"307",196022,15478
"308",196031,12832
"309",196038,12919
"310",196038,16759
"311",196039,15034
"312",196050,13739
"313",196056,14931
"314",196057,14300
"315",196064,16476
"316",196066,14900
"317",196066,14197
"318",196070,14747
"319",196072,14793
"320",196072,14535
"321",196078,16936
"322",196082,13051
"323",196082,16074
"324",196085,14729
"325",196085,16216
"326",196086,16476
"327",196086,14022
"328",196093,13994
"329",196097,12831
"330",196116,14491
"331",196120,14576
"332",196122,16355
"333",196123,12754
"334",196127,14945
"335",196129,12085
"336",196130,14789
"337",196140,17171
"338",196145,14319
"339",196150,13938
"340",196153,12275
"341",196154,17015
"342",196165,15665
"343",196167,12820
"344",196169,16763
"345",196176,11807
"346",196193,16219
"347",196194,15342
"348",196194,13665
"349",196196,14564
"350",196196,16131
"351",196199,15045
"352",196200,17418
"353",196200,15554
"354",196203,15296
"355",196204,15278
"356",196211,17049
"357",196214,15107
"358",196214,14035
"359",196223,15529
"360",196225,17304
"361",196227,14895
"362",196229,15122
"363",196233,13992
"364",196235,15361
"365",196237,14156
"366",196237,15301
"367",196255,15877
"368",196262,13132
"369",196265,11647
"370",196268,13486
"371",196275,13995
"372",196284,12610
"373",196296,13499
"374",196309,13186
"375",196310,15745
"376",196315,13145
"377",196324,14444
"378",196328,13216
"379",196329,14352
"380",196332,15890
"381",196335,14050
"382",196344,13752
"383",196348,15706
"384",196348,14661
"385",196350,16090
"386",196351,16929
"387",196356,14198
"388",196357,17231
"389",196373,12921
"390",196374,13133
"391",196376,13731
"392",196377,13806
"393",196377,16029
"394",196388,14264
"395",196392,14505
"396",196393,15283
"397",196402,12539
"398",196403,16076
"399",196404,15373
"400",196408,13765
"401",196410,14012
"402",196416,13890
"403",196423,13610
"404",196424,11515
"405",196428,15002
"406",196433,13242
"407",196439,14046
"408",196442,14310
"409",196442,14430
"410",196448,12816
"411",196449,13705
"412",196456,13517
"413",196461,12573
"414",196464,13010
"415",196466,12792
"416",196470,13914
"417",196471,15606
"418",196472,14230
"419",196483,14876
"420",196484,16649
"421",196488,17355
"422",196488,13242
"423",196489,14285
"424",196489,14640
"425",196489,14288
"426",196495,15058
"427",196500,12903
"428",196502,17652
"429",196506,13313
"430",196507,12402
"431",196508,14244
"432",196510,14483
"433",196512,17005
"434",196514,12777
"435",196519,14379
"436",196520,14080
"437",196522,12786
"438",196531,15941
"439",196533,14175
"440",196536,12688
"441",196536,15479
"442",196536,15881
"443",196542,14834
"444",196544,15175
"445",196555,13145
"446",196555,12925
"447",196556,14109
"448",196559,14923
"449",196562,13439
"450",196562,15045
"451",196563,14938
"452",196564,16233
"453",196565,14410
"454",196565,14514
"455",196573,14142
"456",196584,13615
"457",196589,17443
"458",196602,15525
"459",196604,14685
"460",196604,14171
"461",196608,14452
"462",196611,14905
"463",196612,13983
"464",196619,17485
"465",196627,12856
"466",196630,12964
"467",196632,12630
"468",196635,13145
"469",196636,13107
"470",196639,13300
"471",196648,17136
"472",196648,11663
"473",196651,14418
"474",196655,16645
"475",196655,15652
"476",196659,18907
"477",196680,14976
"478",196681,14880
"479",196684,15782
"480",196700,14260
"481",196701,15631
"482",196703,13276
"483",196705,13123
"484",196711,14770
"485",196713,17144
"486",196721,17428
"487",196730,14762
"488",196737,15149
"489",196742,15169
"490",196750,16010
"491",196757,16350
"492",196763,16039
