"","V2","V3"
"1",58164,813431
"2",58160,84514
"3",58148,550001
"4",58144,822645
"5",58134,447299
"6",58121,81761
"7",58115,328416
"8",58109,339124
"9",58098,258117
"10",58091,323385
"11",58090,528875
"12",58075,548545
"13",58060,833982
"14",58043,198394
"15",58025,438868
"16",58022,862886
"17",58016,146859
"18",58015,266976
"19",57990,482175
"20",57983,538929
"21",57978,840007
"22",57967,136618
"23",57967,747135
"24",57964,103023
"25",57963,817670
"26",57962,14520
"27",57960,516445
"28",57956,574267
"29",57950,163350
"30",57935,481377
"31",57918,358221
"32",57899,247449
"33",57880,881254
"34",57877,357354
"35",57876,615207
"36",57869,439973
"37",57858,814777
"38",57846,399048
"39",57836,617464
"40",57828,536948
"41",57821,757008
"42",57820,236404
"43",57819,348828
"44",57806,354616
"45",57768,918399
"46",57750,371804
"47",57742,203488
"48",57741,175638
"49",57721,546491
"50",57706,626683
"51",57698,270759
"52",57695,116063
"53",57695,145518
"54",57665,307546
"55",57634,513421
"56",57626,371788
"57",57621,357664
"58",57587,369978
"59",57571,625025
"60",57547,892962
"61",57528,342760
"62",57506,341974
"63",57501,812427
"64",57475,340774
"65",57474,647352
"66",57469,275864
"67",57430,806342
"68",57421,752503
"69",57413,381158
"70",57406,931548
"71",57390,283286
"72",57367,779993
"73",57364,210267
"74",57360,873478
"75",57348,959429
"76",57343,761455
"77",57334,266688
"78",57323,919517
"79",57319,144749
"80",57304,528677
"81",57285,60155
"82",57282,330366
"83",57278,438549
"84",57277,455875
"85",57270,814192
"86",57267,161979
"87",57245,260024
"88",57238,591405
"89",57233,547275
"90",57223,878408
"91",57209,692392
"92",57209,634681
"93",57205,812712
"94",57200,322452
"95",57192,153203
"96",57178,611510
"97",57177,250432
"98",57175,238910
"99",57172,248237
"100",57135,514075
"101",57132,808209
"102",57115,553925
"103",57064,820169
"104",57061,941072
"105",57059,470950
"106",57052,260927
"107",57043,817814
"108",57039,736424
"109",57030,540887
"110",57019,803510
"111",57009,323638
"112",57008,347717
"113",57003,926109
"114",56980,326203
"115",56968,45004
"116",56966,233726
"117",56944,168263
"118",56941,660847
"119",56928,359357
"120",56927,951602
"121",56917,840315
"122",56913,914756
"123",56910,259549
"124",56908,297783
"125",56905,627711
"126",56898,42595
"127",56884,438530
"128",56880,55336
"129",56879,190102
"130",56850,795122
"131",56847,49930
"132",56825,819022
"133",56822,178538
"134",56782,469850
"135",56779,242932
"136",56776,261876
"137",56768,932706
"138",56737,443676
"139",56709,541825
"140",56693,243890
"141",56672,385799
"142",56664,439874
"143",56664,350580
"144",56662,625463
"145",56654,346168
"146",56638,463481
"147",56627,907306
"148",56619,71866
"149",56604,447935
"150",56595,119267
"151",56573,196943
"152",56572,632967
"153",56565,165265
"154",56560,856729
"155",56551,689035
"156",56543,916494
"157",56518,72709
"158",56517,64915
"159",56496,410687
"160",56477,516350
"161",56477,605042
"162",56464,625898
"163",56427,442440
"164",56425,260576
"165",56422,967378
"166",56421,683530
"167",56418,636434
"168",56395,736306
"169",56367,349108
"170",56360,621186
"171",56352,423802
"172",56341,342652
"173",56331,423620
"174",56328,540222
"175",56319,88602
"176",56278,620127
"177",56269,569573
"178",56228,884021
"179",56223,567808
"180",56217,623365
"181",56215,318157
"182",56161,716761
"183",56159,137812
"184",56148,605070
"185",56146,272692
"186",56140,914731
"187",56133,96213
"188",56090,927137
"189",56087,685441
"190",56080,574677
"191",56071,201211
"192",56067,673251
"193",56066,233844
"194",56053,332655
"195",56049,610595
"196",56042,736383
"197",56039,454830
"198",56026,844723
"199",56016,366240
"200",56015,198947
"201",55990,723038
"202",55984,191383
"203",55969,344245
"204",55961,690689
"205",55958,544164
"206",55952,659824
"207",55951,878442
"208",55949,92697
"209",55946,628231
"210",55943,199953
"211",55928,914904
"212",55896,660104
"213",55891,841456
"214",55885,353740
"215",55881,410108
"216",55878,246316
"217",55843,203407
"218",55837,926804
"219",55824,834525
"220",55815,96388
"221",55800,541978
"222",55778,933958
"223",55769,88583
"224",55755,920335
"225",55754,560057
"226",55740,296300
"227",55727,660293
"228",55727,265291
"229",55721,69392
"230",55716,134368
"231",55704,806221
"232",55697,300328
"233",55693,178245
"234",55687,810522
"235",55662,247506
"236",55654,925638
"237",55652,448782
"238",55649,506035
"239",55638,467218
"240",55631,254000
"241",55624,234716
"242",55613,456136
"243",55613,530751
"244",55608,267097
"245",55606,361001
"246",55606,527728
"247",55593,821584
"248",55590,790148
"249",55588,469729
"250",55586,266735
"251",55572,249568
"252",55571,658842
"253",55562,925656
"254",55557,632857
"255",55554,86162
"256",55540,53178
"257",55540,197156
"258",55531,441085
"259",55525,894233
"260",55507,218076
"261",55500,59060
"262",55496,361611
"263",55493,549397
"264",55491,966782
"265",55441,166517
"266",55440,461268
"267",55436,202792
"268",55432,810488
"269",55430,527424
"270",55415,525900
"271",55407,256053
"272",55406,331327
