"","V2","V3"
"1",664159,550946
"2",665845,557965
"3",597173,575538
"4",618600,551446
"5",635690,608046
"6",588100,557588
"7",582015,546191
"8",604678,574577
"9",572029,518313
"10",604737,574591
"11",577728,587566
"12",602013,574722
"13",627968,574625
"14",607269,536961
"15",603145,574795
"16",671919,571761
"17",612184,570393
"18",600032,575310
"19",627912,593892
"20",601967,604428
"21",591851,569051
"22",601444,572693
"23",629718,558104
"24",661430,603567
"25",597551,556737
"26",601182,582584
"27",562704,570596
"28",605107,563429
"29",607214,575069
"30",568824,570203
"31",612485,518009
"32",589244,573777
"33",625579,551084
"34",560237,500154
"35",626224,569687
"36",610666,551701
"37",597428,569940
"38",600582,599535
"39",604168,555003
"40",613871,550423
"41",617310,551945
"42",625728,579460
"43",606300,566708
"44",638559,558807
"45",582176,630383
"46",544056,577786
"47",631297,578351
"48",561574,621747
"49",604973,574773
"50",605284,556134
"51",617910,592293
"52",555904,640401
"53",526559,509417
"54",603849,572396
"55",598634,619900
"56",603359,589262
"57",657455,567754
"58",614279,599251
"59",578496,631434
"60",645171,595209
"61",688015,533535
"62",656477,573007
"63",540029,563888
"64",597418,538362
"65",613545,574733
"66",628696,542447
"67",604157,574191
"68",603126,497987
"69",605850,533310
"70",596179,529556
"71",610330,552628
"72",598184,531473
"73",620438,511694
"74",600202,622079
"75",603021,577991
"76",515612,540643
"77",606548,574376
"78",593490,623110
"79",607084,595500
"80",583728,563146
"81",616044,533807
"82",624452,584622
"83",604438,574666
"84",625709,660145
"85",601376,579831
"86",565148,557305
"87",639418,537903
"88",612799,537497
"89",583653,652182
"90",599808,596484
"91",605250,573272
"92",606738,601356
"93",611044,571814
"94",575440,568511
"95",616329,529516
"96",605927,572533
"97",609286,586782
"98",647354,579190
"99",606929,571420
"100",562920,559223
"101",680357,620811
"102",707100,601463
"103",604294,574368
"104",614917,600946
"105",611508,503220
"106",603789,574474
"107",551740,588768
"108",546031,570429
"109",569197,559307
"110",688712,568754
"111",604067,574091
"112",606809,572101
"113",588597,622592
"114",613840,534167
"115",576263,547239
"116",597077,568196
"117",601339,571609
"118",606011,569426
"119",593398,559764
"120",593166,622725
"121",609796,532982
"122",712648,607541
"123",585048,505097
"124",525967,565687
"125",660327,585901
"126",607604,573951
"127",604001,573587
"128",591484,571087
"129",613868,585089
"130",645464,660478
"131",538571,654649
"132",555429,604551
"133",597620,586226
"134",586097,567445
"135",545235,539822
"136",649088,575733
"137",599123,616977
"138",563763,559454
"139",617717,613939
"140",618869,577243
"141",567188,560044
"142",636628,533309
"143",560362,567914
"144",595014,632844
"145",605876,550640
"146",604352,573425
"147",600679,599545
"148",596891,579476
"149",614943,540976
"150",604415,571400
"151",603698,573585
"152",658199,568743
"153",598759,582942
"154",671269,590258
"155",593317,534085
"156",657985,453405
